review_id,date,store_name,rating,content,category
1,2026-05-01,星云咖啡上海人民广场店,5,拿铁口感很顺滑，店员推荐也很耐心，整体体验不错,待分类
2,2026-05-01,星云咖啡上海人民广场店,4,环境挺安静，适合办公，就是下午人有点多,待分类
3,2026-05-01,星云咖啡上海人民广场店,2,等了二十多分钟才拿到咖啡，赶时间的话不太方便,待分类
4,2026-05-02,星云咖啡上海人民广场店,1,外卖送到的时候杯子漏了，袋子里全是咖啡,待分类
5,2026-05-02,星云咖啡上海人民广场店,5,新品燕麦拿铁很好喝，甜度刚好，下次还会来,待分类
6,2026-05-02,星云咖啡上海人民广场店,3,咖啡味道还可以，但是价格有点偏高,待分类
7,2026-05-03,星云咖啡上海人民广场店,2,服务员态度比较冷淡，问问题的时候有点不耐烦,待分类
8,2026-05-03,星云咖啡上海人民广场店,4,座位比较舒服，插座也够用，适合临时办公,待分类
9,2026-05-03,星云咖啡上海人民广场店,1,点的热美式做成了冰的，重新做又等了很久,待分类
10,2026-05-04,星云咖啡上海人民广场店,5,店里很干净，咖啡出品稳定，服务也不错,待分类
11,2026-05-04,星云咖啡上海人民广场店,3,周末人太多，排队时间比较长，体验一般,待分类
12,2026-05-04,星云咖啡上海人民广场店,2,桌面没有及时清理，上一位顾客留下的杯子还在,待分类
13,2026-05-05,星云咖啡上海人民广场店,4,抹茶拿铁味道不错，就是座位有点挤,待分类
14,2026-05-05,星云咖啡上海人民广场店,5,店员帮我调整了甜度，很贴心,待分类
15,2026-05-05,星云咖啡上海人民广场店,1,外卖少送了一杯，联系门店处理速度比较慢,待分类
16,2026-05-06,星云咖啡上海人民广场店,4,整体不错，适合朋友聊天，音乐声音也不大,待分类
17,2026-05-06,星云咖啡上海人民广场店,2,咖啡有点淡，感觉和之前喝的不太一样,待分类
18,2026-05-06,星云咖啡上海人民广场店,5,早餐套餐性价比不错，出餐也快,待分类
19,2026-05-07,星云咖啡上海人民广场店,3,味道正常，但是没有特别惊喜,待分类
20,2026-05-07,星云咖啡上海人民广场店,1,店里地面有些脏，桌子也没有及时擦,待分类
